trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low
2008-05-14,3549.668,3661.971,3549.668,3657.432,8859207800,-1.230087548649856,-1.3751708430333713,-1.2239766667857195,-1.3751708430333713
2008-05-15,3676.839,3706.722,3636.224,3637.324,8395532200,-1.2532921168306277,-1.2001859143883273,-1.1600246427805005,-1.2547704623370561
2008-05-16,3637.636,3661.071,3582.5,3624.233,6481285300,-1.2661560009194435,-1.2481807389677566,-1.2167511885806954,-1.3221256798741368
2008-05-19,3615.594,3624.844,3563.609,3604.761,4845016500,-1.2868691086830275,-1.2723747371614436,-1.2599983929747316,-1.341929791490765
2008-05-20,3601.549,3632.006,3432.382,3443.162,6637705300,-1.494885079168228,-1.2836905795554678,-1.2430789708078698,-1.5092592178653779
2008-05-21,3414.344,3560.528,3355.084,3544.186,7364107600,-1.3538279041474894,-1.5264892008044741,-1.332096639148734,-1.60529196447026
2008-05-22,3493.067,3558.019,3469.792,3485.63,6850470300,-1.4259064906869536,-1.4160418618812576,-1.329887852174712,-1.4469144227865394
2008-05-23,3473.801,3521.393,3435.841,3473.091,5995055900,-1.4355605302856798,-1.4346215661154944,-1.3716818720486526,-1.4848230871017383
2008-05-26,3442.291,3443.988,3361.985,3364.544,5277659600,-1.5691760217073991,-1.466771071144398,-1.464535856909696,-1.5725466246694515
2008-05-27,3355.114,3383.679,3333.951,3375.407,4249931100,-1.54549810040276,-1.5721246975331336,-1.5346443473124112,-1.5998928281727678
2008-05-28,3382.774,3486.332,3354.254,3459.026,5247676000,-1.4278729432312127,-1.527594453495419,-1.3921624627287417,-1.5648925895801793
2008-05-29,3447.768,3481.734,3400.773,3401.437,5143993300,-1.4937927541694624,-1.4334325316531553,-1.3891814833703884,-1.494657816174401
2008-05-30,3414.254,3450.493,3390.883,3433.354,4849540700,-1.443025628443303,-1.467817137585843,-1.4207794674383816,-1.4981523396890004
2008-06-02,3426.195,3483.61,3400.723,3459.044,4918607800,-1.4013155336881817,-1.4438074825086205,-1.3695380910042974,-1.476756884936525
2008-06-03,3456.58,3469.063,3409.226,3436.398,5664249400,-1.421640163154784,-1.395627952286569,-1.3795388417787935,-1.4566616572441276
2008-06-04,3424.037,3428.467,3341.739,3369.913,4803815600,-1.4963281017700036,-1.426865257694719,-1.42117978730721,-1.5324866667130432
2008-06-05,3355.928,3376.341,3326.537,3351.645,4183466300,-1.508060560974929,-1.5025880819695228,-1.4765059633756967,-1.540141579622545
2008-06-06,3362.005,3371.283,3312.721,3329.67,3476321700,-1.5264555545390284,-1.4853026085372303,-1.473494442988918,-1.5480266472183073
2008-06-10,3202.113,3215.501,3045.058,3072.333,5090954600,-1.8372551182671264,-1.6731086345494401,-1.6561754158407604,-1.8717526937286761
2008-06-11,3042.158,3064.2,2992.351,3024.24,4693934500,-1.8813871316336215,-1.858865539811636,-1.8311603870635502,-1.9214692301720346
2008-06-12,3011.558,3031.064,2900.116,2957.532,4953582400,-1.9511514242728614,-1.8836091757935243,-1.8592231561208121,-2.022931784445549
2008-06-13,2960.905,2976.45,2865.5,2868.8,4106943000,-2.043968924529047,-1.9295853220155226,-1.9102802560465448,-2.04806713731114
2008-06-16,2876.294,2917.81,2811.716,2874.103,4038592400,-2.019682900375034,-2.016979675305593,-1.965757816801294,-2.0966551059465655
2008-06-17,2873.129,2893.471,2769.118,2794.751,4329814700,-2.0960351570769737,-2.0000744564773996,-1.9751690930897583,-2.1274184615561507
2008-06-18,2772.367,2945.422,2729.711,2941.115,6634980300,-1.9002635904647167,-2.1055866943177235,-1.8950230743798153,-2.1574881231817926
2008-06-19,2921.721,2921.721,2742.151,2748.874,5679582700,-2.1107127212083636,-1.9021255524663676,-1.9021255524663676,-2.118825859043862
2008-06-20,2811.084,2917.325,2695.628,2831.736,7415683000,-1.9898884923565188,-2.014625691155028,-1.8873690217015884,-2.1529201916625187
2008-06-23,2780.148,2813.137,2741.19,2760.417,4067003200,-2.051685551544907,-2.028244609160947,-1.9890528171430848,-2.0745277287896684
2008-06-24,2747.322,2817.168,2728.83,2803.019,4838723100,-1.9799589920236071,-2.0456333218660783,-1.9632753987790668,-2.06743790213875
2008-06-25,2794.04,2910.481,2784.416,2905.014,6481910500,-1.8419499832507606,-1.9719565911415835,-1.8355453648235693,-1.9832311563040652
2008-06-26,2904.094,2931.306,2851.116,2901.85,6551922800,-1.8273007935150827,-1.824689190869791,-1.7930194354403495,-1.8863458240882596
2008-06-27,2809.309,2822.264,2723.158,2748.432,6052991900,-1.9832602056551234,-1.91296233765985,-1.8980025190111196,-2.0124454203620328
2008-06-30,2724.404,2766.803,2693.404,2736.103,3851885400,-1.9756982220334767,-1.9891046891147095,-1.9405175621998296,-2.024629133897871
2008-07-01,2743.164,2753.33,2644.776,2651.605,4068142300,-2.0482280207268495,-1.944175680362415,-1.9326225169143127,-2.0559888463403744
2008-07-02,2656.038,2700.903,2627.898,2651.725,4018179300,-2.025465968520502,-2.02060318655369,-1.970019204884086,-2.0523302175173073
2008-07-03,2610.815,2746.369,2566.528,2703.529,6814671700,-1.9478542345541543,-2.0516582201213276,-1.8998899277429098,-2.1012426098447072
2008-07-04,2691.207,2713.476,2645.829,2669.892,5729192800,-1.9654571139652037,-1.9417644941186265,-1.9170114586335956,-1.9922042643929858
2008-07-07,2673.55,2801.534,2673.55,2792.397,7740584800,-1.8121757959440394,-1.9434512219352462,-1.8020832940947569,-1.9434512219352462
2008-07-08,2805.608,2843.603,2754.616,2814.947,8020468000,-1.7723800184236695,-1.782637369983349,-1.7409061276115725,-1.8386436737344125
2008-07-09,2838.863,2920.546,2838.863,2920.546,9702611900,-1.644973912569046,-1.7342820485573331,-1.644973912569046,-1.7342820485573331
2008-07-10,2879.624,2952.039,2862.059,2875.45,9090484100,-1.6819162033845447,-1.677374686231551,-1.5985836070187969,-1.696486269555061
2008-07-11,2863.813,2888.287,2821.311,2856.634,6482055300,-1.6892556925522482,-1.6814842878218412,-1.6549907149883027,-1.7274935152701976
2008-07-14,2837.495,2895.302,2828.236,2878.256,5446592300,-1.6541025726746792,-1.6980222089534036,-1.6357356503713218,-1.7079987039438287
2008-07-15,2886.112,2896.328,2769.914,2779.448,7091523400,-1.748795996127015,-1.634402487664506,-1.6234461754837048,-1.7590208865275392
2008-07-16,2753.898,2765.148,2656.613,2705.867,6004392200,-1.812759777722204,-1.761541228826608,-1.7495446292331067,-1.8652824902891652
2008-07-17,2747.951,2773.281,2676.149,2684.778,5084233300,-1.8191538112968473,-1.7521941165282937,-1.7253457941676738,-1.8283000479194207
2008-07-18,2711.742,2785.53,2665.907,2778.367,5787350000,-1.7065657995127788,-1.7768193059420545,-1.699012690821553,-1.8251505549804914
2008-07-21,2759.883,2865.065,2745.642,2861.418,6648770000,-1.607431526302578,-1.7140084473465986,-1.603603427311614,-1.7289566123398312
2008-07-22,2852.442,2868.621,2830.765,2846.117,6151910700,-1.6114134933959217,-1.6048056700637545,-1.5879032236303734,-1.6274519603991522
2008-07-23,2870.934,2887.576,2831.111,2837.849,6149797500,-1.608001188430729,-1.5735991058486996,-1.5562946035567207,-1.6150074218427806
2008-07-24,2861.81,2912.702,2849.097,2910.292,7250544500,-1.5228468321520778,-1.5730588470110327,-1.5203508345486354,-1.586225493290103
2008-07-25,2875.77,2888.578,2851.929,2865.101,6253105900,-1.5585740739536975,-1.5475726371349037,-1.534365550924845,-1.5721565020891513
2008-07-28,2883.761,2924.447,2883.761,2903.012,6231879200,-1.509002629131253,-1.52877124745615,-1.4869912877051372,-1.52877124745615
2008-07-29,2868.008,2868.008,2827.697,2850.311,5863227800,-1.5519549398628012,-1.5338617960118708,-1.5338617960118708,-1.575075149787927
2008-07-30,2884.586,2894.369,2822.188,2836.668,4894688400,-1.553701490985272,-1.5049381899903045,-1.4949826122609797,-1.5684369264877374
2008-07-31,2844.651,2847.996,2774.104,2775.717,4453026900,-1.6017151918422068,-1.531922761910454,-1.5285361068763386,-1.6033482784102273
2008-08-01,2751.02,2830.764,2721.952,2801.817,4921541900,-1.5620226220690199,-1.613202894215557,-1.532857211949804,-1.6424902173006906
2008-08-04,2782.985,2793.257,2738.85,2741.74,3717031800,-1.607851380184599,-1.566510528834924,-1.5562146572125732,-1.6107480964023357
2008-08-05,2751.2,2762.263,2684.734,2690.746,4237855200,-1.6434285619019067,-1.583162267521508,-1.5721336173952902,-1.649421895044709
2008-08-06,2711.602,2743.113,2678.862,2719.368,4060552500,-1.6002047355460725,-1.6079068731753483,-1.576654998486177,-1.6403776413935407
2008-08-07,2717.502,2742.705,2691.355,2727.577,3949212100,-1.5774476705166243,-1.5873901969938218,-1.5625185846062486,-1.6131933969738987
2008-08-08,2724.43,2725.931,2595.917,2605.719,4850743700,-1.6808884616929554,-1.564397450533199,-1.5629245204108781,-1.69050715660234
2008-08-11,2595.895,2601.502,2453.707,2470.074,4716145000,-1.7951863581162508,-1.6725166003939347,-1.667050030174742,-1.8111434394034858
2008-08-12,2445.216,2484.746,2430.849,2457.198,3663263200,-1.7886693310775692,-1.8002764532539708,-1.7619832184323085,-1.8141939565345884
2008-08-13,2440.525,2458.769,2370.737,2446.297,4100523100,-1.7799368551509978,-1.785493416058257,-1.7679303708066916,-1.8526765887186532
2008-08-14,2432.197,2454.251,2409.01,2437.082,3130522600,-1.7696153425263048,-1.7742894250270493,-1.7531876408977918,-1.796475290112979
2008-08-15,2434.408,2476.858,2414.573,2450.61,3129606800,-1.7381434029835732,-1.7535556562036614,-1.7131748298123062,-1.7724238232583733
2008-08-18,2451.778,2455.504,2318.926,2319.868,5365679600,-1.841546571588889,-1.7168868327967113,-1.7133656275299411,-1.8424367957867682
2008-08-19,2297.245,2355.929,2284.585,2344.469,3859382100,-1.7982792785034558,-1.842636783618348,-1.787514900038763,-1.8545283221316997
2008-08-20,2332.484,2523.469,2306.662,2523.282,7373666300,-1.6142327652434258,-1.7925886229153847,-1.6140579597140983,-1.8167267425854303
2008-08-21,2484.485,2518.443,2431.046,2431.716,6133199000,-1.6823247204663228,-1.633248983472183,-1.601667678599114,-1.6829478276653616
2008-08-22,2414.459,2426.707,2362.093,2405.226,4628459300,-1.6893040813832632,-1.6807605335137472,-1.6694271235380262,-1.7292162280588654
2008-08-25,2408.095,2443.99,2382.291,2413.374,3375721700,-1.6646130021231975,-1.6694740599573115,-1.6364208925097794,-1.6932351390161249
2008-08-26,2384.946,2403.016,2327.22,2350.084,4097946600,-1.7049294442663177,-1.6729986142183741,-1.6564479258193625,-1.7258710568592894
2008-08-27,2343.882,2385.991,2310.455,2342.147,4095260400,-1.6945374983922252,-1.6929570029315484,-1.654597877079308,-1.723407274841659
2008-08-28,2341.956,2374.246,2333.03,2350.143,3475273400,-1.6700012462280025,-1.6774235477158972,-1.6481495627343263,-1.685515823651032
2008-08-29,2361.046,2420.848,2352.099,2397.369,4640576800,-1.6111055502968321,-1.6438958369682393,-1.5899100779856807,-1.6519726669340753
