,trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low,signal,reward
991,2022-05-06,3011.319,3030.693,2992.715,3001.561,34326421800,-3.1493526442110893,-3.085823497206626,-2.9596896896574862,-3.2069442443752103,2.0,2.7560326110313893
992,2022-05-09,2990.199,3015.943,2983.612,3004.141,29206155600,-3.06143391555458,-3.150486346283644,-2.986050413369498,-3.192559819330003,2.0,2.317068340001338
993,2022-05-10,2965.776,3043.779,2957.397,3035.844,37066098000,-2.802782760742549,-3.2432480237659886,-2.75290133324225,-3.2959205481547733,2.0,1.905664454431788
994,2022-05-11,3035.389,3100.9,3034.675,3058.703,42399191200,-2.6125927936988917,-2.7571391546879,-2.3509721882835506,-2.761565941243023,2.0,0.8916851358239164
995,2022-05-12,3044.8,3072.157,3032.945,3054.994,34444047700,-2.5898271978026304,-2.6521763979026067,-2.484853750547785,-2.724684713302373,2.0,1.3738488520762981
996,2022-05-13,3068.033,3086.096,3059.253,3084.285,33173785200,-2.3750085086858226,-2.4732924872729254,-2.36405648522894,-2.526389541912031,2.0,2.0193334922032236
997,2022-05-16,3100.55,3102.577,3063.398,3073.749,33810849200,-2.4018816844175084,-2.241669719902706,-2.2295526477012397,-2.463758257854792,2.0,2.3784635635505813
998,2022-05-17,3076.498,3093.697,3057.641,3093.697,33035653700,-2.250910399699181,-2.352678534992151,-2.250910399699181,-2.464257215567738,2.0,-0.7360126088624686
999,2022-05-18,3095.886,3105.842,3071.305,3085.977,31503792300,-2.263889940980838,-2.205861542433761,-2.1475579057464373,-2.34981108978321,2.0,0.6962786825695844
1000,2022-05-19,3046.71,3096.965,3042.674,3096.965,33660074900,-2.1707595341990182,-2.462285844667276,-2.1707595341990182,-2.4856984441907044,2.0,0.8441490297759202
1001,2022-05-20,3107.094,3146.567,3107.094,3146.567,37233663600,-1.863275863469535,-2.090674615853922,-1.863275863469535,-2.090674615853922,2.0,-0.5189147410495254
1002,2022-05-23,3150.49,3150.509,3127.899,3146.857,35337632500,-1.8430586676407397,-1.8222684971187573,-1.8221597679032544,-1.9515475343502804,2.0,0.07003813646442314
1003,2022-05-24,3149.059,3153.13,3070.927,3070.927,41631215800,-2.2466858883215197,-1.8040565692413404,-1.7809937530075903,-2.2466858883215197,2.0,3.76107930927696
1004,2022-05-25,3070.17,3107.628,3069.946,3107.464,34225922700,-2.015685620243756,-2.22524666720063,-2.014764077590756,-2.2265053596047264,2.0,2.4036642097865046
1005,2022-05-26,3111.482,3133.277,3079.481,3123.108,37030551800,-1.9062020097392935,-1.971053955981227,-1.849477474960849,-2.149561364521401,2.0,2.3166025638562626
1006,2022-05-27,3135.032,3151.047,3112.544,3130.239,35946386600,-1.847206769020138,-1.820651564019752,-1.731921831476216,-1.9452443973284677,2.0,3.390571774231921
1007,2022-05-30,3141.956,3150.892,3123.15,3149.061,34936228500,-1.7251363808705829,-1.7642677363712125,-1.715052001993505,-1.8678432847941315,2.0,2.943829922634089
1008,2022-05-31,3149.944,3188.603,3142.004,3186.427,37452326500,-1.5055113937527191,-1.70556867073961,-1.4935791339406572,-1.749108258472963,2.0,2.4279859541737503
1009,2022-06-01,3179.695,3190.609,3160.04,3182.157,36566443200,-1.5148023636460848,-1.5282445693352988,-1.4686555226691416,-1.6355583600832704,2.0,1.7848585094952796
1010,2022-06-02,3170.306,3197.282,3163.756,3195.458,36177063200,-1.4296900052314332,-1.566475693575601,-1.419770432412581,-1.6020969665818956,2.0,2.7969699492216726
1011,2022-06-06,3196.955,3237.071,3181.647,3236.372,42202783500,-1.1980594535780622,-1.411836995551198,-1.194268436964945,-1.494859717029869,2.0,0.5926080191028804
1012,2022-06-07,3235.416,3253.093,3222.635,3241.764,40220322000,-1.1604681301666997,-1.1948052985763356,-1.099188076462736,-1.26393941159517,2.0,1.4542391117922326
1013,2022-06-08,3245.017,3266.63,3216.015,3263.793,43418327000,-1.0341811538504095,-1.1355354955952677,-1.0188668021498262,-1.2920905988805422,2.0,1.27501958610734
1014,2022-06-09,3259.49,3270.557,3223.475,3238.954,42272837200,-1.1588794922424372,-1.0482203081023629,-0.9885852676427682,-1.24228879840256,2.0,1.4335183519123884
1015,2022-06-10,3214.185,3286.62,3210.808,3284.834,43986573000,-0.9045939241981208,-1.2850950387208329,-0.8949748922155367,-1.303282872430343,2.0,0.9727127763534016
1016,2022-06-13,3256.275,3272.991,3229.309,3255.551,43857831200,-1.053899826884482,-1.050003673383572,-0.9600477315034672,-1.1951192470099727,2.0,1.8392892631692748
1017,2022-06-14,3224.214,3289.134,3195.819,3288.907,45038818700,-0.8675518345825494,-1.2156182984541888,-0.866330510988052,-1.3683913533694836,2.0,0.5415780987422236
1018,2022-06-15,3289.104,3358.545,3288.851,3305.407,55058413100,-0.772458368615753,-0.860207296981591,-0.4864495018118644,-0.8615690389233521,2.0,-1.1558334571204032
1019,2022-06-16,3306.835,3319.689,3277.531,3285.385,43322086800,-0.8732093282318328,-0.7577265362288528,-0.688523002037417,-0.9154937966883104,2.0,1.058140826721976
1020,2022-06-17,3265.512,3323.28,3262.894,3316.786,39530070000,-0.6983874964751035,-0.9745260242421986,-0.6634137554110251,-0.9886253858230069,2.0,0.9937632394733775
1021,2022-06-20,3315.783,3333.903,3292.928,3315.43,41346041000,-0.7000306858013726,-0.6981293580309836,-0.6005314566161358,-0.8212309053177587,2.0,1.9229783165381376
